"","OE.scores.O","OE.scores.E","OE.scores.OoverE","OE.scores.Onull","OE.scores.Enull","OE.scores.OoverE.null","OE.scores.BC","OE.scores.BC.null","Capture.Probs.Achnanthes","Capture.Probs.Achnanthidium","Capture.Probs.Adlafia","Capture.Probs.Amphipleura","Capture.Probs.Amphora","Capture.Probs.Anomoeoneis","Capture.Probs.Bacillaria","Capture.Probs.Biremis","Capture.Probs.Brachysira","Capture.Probs.Caloneis","Capture.Probs.Campylodiscus","Capture.Probs.Cavinula","Capture.Probs.Chamaepinnularia","Capture.Probs.Cocconeis","Capture.Probs.Craticula","Capture.Probs.Cymatopleura","Capture.Probs.Cymbella","Capture.Probs.Cymbopleura","Capture.Probs.Delicata","Capture.Probs.Denticula","Capture.Probs.Diadesmis","Capture.Probs.Diatomella","Capture.Probs.Didymosphenia","Capture.Probs.Diploneis","Capture.Probs.Encyonema","Capture.Probs.Encyonopsis","Capture.Probs.Entomoneis","Capture.Probs.Eolimna","Capture.Probs.Epithemia","Capture.Probs.Eucocconeis","Capture.Probs.Eunotia","Capture.Probs.Fallacia","Capture.Probs.Fistulifera","Capture.Probs.Frustulia","Capture.Probs.Geissleria","Capture.Probs.Gomphoneis","Capture.Probs.Gomphonema","Capture.Probs.Gomphosphenia","Capture.Probs.Gyrosigma","Capture.Probs.Halamphora","Capture.Probs.Hantzschia","Capture.Probs.Hippodonta","Capture.Probs.Karayevia","Capture.Probs.Kolbesia","Capture.Probs.Lemnicola","Capture.Probs.Luticola","Capture.Probs.Mastogloia","Capture.Probs.Mayamaea","Capture.Probs.Muelleria","Capture.Probs.Navicula","Capture.Probs.Neidium","Capture.Probs.Nitzschia","Capture.Probs.Nupela","Capture.Probs.Opephora","Capture.Probs.Parlibellus","Capture.Probs.Pinnularia","Capture.Probs.Placoneis","Capture.Probs.Planothidium","Capture.Probs.Platessa","Capture.Probs.Pleurosigma","Capture.Probs.Psammodictyon","Capture.Probs.Psammothidium","Capture.Probs.Pseudostaurosira","Capture.Probs.Reimeria","Capture.Probs.Rhoicosphenia","Capture.Probs.Rhopalodia","Capture.Probs.Rossthidium","Capture.Probs.Sellaphora","Capture.Probs.Seminavis","Capture.Probs.Simonsenia","Capture.Probs.Stauroforma","Capture.Probs.Stauroneis","Capture.Probs.Stenopterobia","Capture.Probs.Surirella","Capture.Probs.Synedra","Capture.Probs.Tryblionella","Capture.Probs.Ulnaria","Group.Occurrence.Probs.1","Group.Occurrence.Probs.2","Group.Occurrence.Probs.3","Group.Occurrence.Probs.4","Group.Occurrence.Probs.5","Group.Occurrence.Probs.6","Group.Occurrence.Probs.7","Group.Occurrence.Probs.8","Group.Occurrence.Probs.9","Group.Occurrence.Probs.10","Group.Occurrence.Probs.11","Group.Occurrence.Probs.12","Group.Occurrence.Probs.13","Group.Occurrence.Probs.14","Group.Occurrence.Probs.15","Group.Occurrence.Probs.16","Group.Occurrence.Probs.17","Group.Occurrence.Probs.18","Group.Occurrence.Probs.19","Group.Occurrence.Probs.20","Group.Occurrence.Probs.21","Group.Occurrence.Probs.22"
"000CAT148_8/10/10_1",8,6.66648586631234,1.2000325449464,8,7.43283582089552,1.07630522088353,0.0909225390351093,0.107930367504836,0.019970641025641,0.987876923076923,0.150200493177846,0.105382662468251,0.420664822029822,0.0152444444444444,0.0217809116809117,0.0155454545454545,0.0293309949309949,0.186025850630851,0,0.0250121212121212,0.0293052286602287,0.915662283141695,0.010384435009435,0.000171428571428571,0.357714821496586,0.0534321794871795,0.00136296296296296,0.0668037046287046,0.082059333999334,0.0318787878787879,0.0606958531664414,0.084519365764954,0.49447474025974,0.115319977691154,0,0.217390121251298,0.48568537617067,0.0331283605283605,0.269692617382617,0.0407354334554335,0.0330443121693122,0.146019300590477,0.349444806663924,0.4344796058299,0.978237275687276,0.17084316500493,0.0157982905982906,0.0302737845487845,0.0235089234295117,0.00900855614973262,0.329290030677384,0.0454533689839572,0.00379835164835165,0.0898172563384328,0.00019047619047619,0.110445229367582,0,0.865372868852281,0.0359734098689981,0.883738011988012,0.038941645021645,0.033709898989899,0.0349994301994302,0.254687149223326,0.0354231962481962,0.876242389092389,0.00674545454545455,0.00384065934065934,0,0.400985090225679,0.350121931053696,0.503699503568327,0.655656610905434,0.160473298868887,0.299189071005247,0.27504140744876,0.00385454545454545,0.00101904761904762,0.00385454545454545,0.077362195952196,0.00289090909090909,0.108846024531025,0,0.0289635031635032,8.33333333333333e-05,8e-04,8e-04,0.0012,0,0.2272,0.0232,0.0424,0.052,0.0368,0.171,4e-04,0.029,0,0.0636,0.147,0.0292,0.009,0.022,0,0.0072,0.1372,0
"102PS0139_8/9/10_1",8,7.05290754425313,1.13428397434737,8,7.43283582089552,1.07630522088353,0.129715550131017,0.107930367504836,0.0188767735042735,0.995938461538462,0.13729687283849,0.168320229133611,0.357127318884819,0.00657777777777778,0.00755510785510786,0.00174545454545455,0.0623983756983757,0.183002667925756,0.00104705882352941,0.00873712121212121,0.0303533420337832,0.905358282567106,0.0265867205506911,0.00231428571428571,0.338490664422723,0.037117095274007,0.00203703703703704,0.080548399068252,0.0198931205395911,0.00221847041847042,0.0481339196750961,0.0680547626393214,0.437972878575673,0.280347592908181,0,0.261485534530829,0.502751863713628,0.01321554001554,0.151941036186036,0.0345569000933707,0.0288662037037037,0.10689959662342,0.290625690567602,0.36677789080745,0.927672775046305,0.0881827918813213,0.0114700854700855,0.0336230588855589,0.0142830316742081,0.0193898395721925,0.232202435369641,0.0277894147355912,0.0021510989010989,0.0491170279393809,0.0234518207282913,0.122126047362224,0,0.86521956665339,0.0173366646153411,0.863944355644356,0.0130070418470418,0.0108832323232323,0.0172296296296296,0.148574499405823,0.0300666486291486,0.84585885280297,0.00843766233766234,0.0185392857142857,2.85714285714286e-05,0.134104320755497,0.226097273336685,0.508055437601614,0.638107948685302,0.244978558016058,0.112888255508108,0.216541321015586,0.00725454545454545,0.0123940476190476,0.00725454545454545,0.0357817195767196,0.00115454545454545,0.0671527720482132,2.85714285714286e-05,0.0300419358419358,0.00543333333333333,0.1298,0.0784,0.0162,0.0178,0.1678,0,0.0798,0.155,0.055,0.0192,2e-04,0.0578,0,0.0254,0.004,0.0256,0.0318,0.0132,0,0.0636,0.0592,2e-04
"105DLCDCC_5/19/09_1",8,6.41155503068827,1.24774722539365,8,7.43283582089552,1.07630522088353,0.110220234105845,0.117988394584139,0.000515555555555556,0.9992,0.0558937796081914,0.0177732301358772,0.0415915449365449,8.88888888888889e-05,0.00265291005291005,2e-04,0.0140677396677397,0.0141684953173188,0.000105882352941176,0.0358083333333333,0.0026146218487395,0.91660469873264,0.00195988668194551,0.000114285714285714,0.202335530014648,0.00446638054755702,0.000503703703703704,0.012004977865272,0.00696927673633556,0.00171111111111111,0.0170495608966197,0.0451636469739411,0.156964911624323,0.0767676305502776,0,0.0579459858442211,0.590812681653858,0.00301196581196581,0.0568558547008547,0.00279566590272473,0.00112433862433862,0.0858597658659423,0.114821852493911,0.201626706942295,0.988567817095758,0.124230525846702,0.00281196581196581,0.00408761516261516,0.00324224598930481,0.00524812834224599,0.221192093995329,0.00696098336304219,3e-04,0.00889398692810458,0.00117731092436975,0.094042698847993,0,0.658309120237061,0.00358577653283536,0.736137179487179,0.0027568253968254,0.000448888888888889,0.00118518518518519,0.0851596311858076,0.0016287518037518,0.86461055502232,0.00109090909090909,0.000889285714285714,0,0.026625584132643,0.0597141980786098,0.201210705699529,0.657312978459449,0.124861510765923,0.131980908525026,0.0676791417732594,0.000854545454545455,0.000686904761904762,0.000854545454545455,0.00321371813371813,0.000236363636363636,0.00430885705797471,0,0.00186637806637807,0.000258333333333333,0.0062,6e-04,8e-04,0.0018,0.8546,0,0.0094,0.0426,0.0136,0.0022,0,0.0062,0,0.0052,0.0136,0.0016,0.0028,0.0026,0,0.0354,8e-04,0
"105DLCDCC_6/23/09_1",8,6.41155503068827,1.24774722539365,8,7.43283582089552,1.07630522088353,0.110220234105845,0.117988394584139,0.000515555555555556,0.9992,0.0558937796081914,0.0177732301358772,0.0415915449365449,8.88888888888889e-05,0.00265291005291005,2e-04,0.0140677396677397,0.0141684953173188,0.000105882352941176,0.0358083333333333,0.0026146218487395,0.91660469873264,0.00195988668194551,0.000114285714285714,0.202335530014648,0.00446638054755702,0.000503703703703704,0.012004977865272,0.00696927673633556,0.00171111111111111,0.0170495608966197,0.0451636469739411,0.156964911624323,0.0767676305502776,0,0.0579459858442211,0.590812681653858,0.00301196581196581,0.0568558547008547,0.00279566590272473,0.00112433862433862,0.0858597658659423,0.114821852493911,0.201626706942295,0.988567817095758,0.124230525846702,0.00281196581196581,0.00408761516261516,0.00324224598930481,0.00524812834224599,0.221192093995329,0.00696098336304219,3e-04,0.00889398692810458,0.00117731092436975,0.094042698847993,0,0.658309120237061,0.00358577653283536,0.736137179487179,0.0027568253968254,0.000448888888888889,0.00118518518518519,0.0851596311858076,0.0016287518037518,0.86461055502232,0.00109090909090909,0.000889285714285714,0,0.026625584132643,0.0597141980786098,0.201210705699529,0.657312978459449,0.124861510765923,0.131980908525026,0.0676791417732594,0.000854545454545455,0.000686904761904762,0.000854545454545455,0.00321371813371813,0.000236363636363636,0.00430885705797471,0,0.00186637806637807,0.000258333333333333,0.0062,6e-04,8e-04,0.0018,0.8546,0,0.0094,0.0426,0.0136,0.0022,0,0.0062,0,0.0052,0.0136,0.0016,0.0028,0.0026,0,0.0354,8e-04,0
