"","cnt.spp.IndicatorClass_TP_high","prop.spp.IndicatorClass_DOC_high","prop.spp.Green","prop.spp.BCG3","sba.pMMI"
"000CAT148_8/10/10_1",0.708017922411679,0.316136035792954,0.907509038336267,1,0.732915749135225
"102PS0139_8/9/10_1",0.708017922411679,0.728786425594069,0.722303112145192,0.386762795786034,0.636467563984244
"105DLCDCC_5/19/09_1",0.708017922411679,0.123565853885766,0.907509038336267,0,0.434773203658428
"105DLCDCC_6/23/09_1",0.708017922411679,0.563726269673623,0.907509038336267,1,0.794813307605392
