"","OE.scores.O","OE.scores.E","OE.scores.OoverE","OE.scores.Onull","OE.scores.Enull","OE.scores.OoverE.null","OE.scores.BC","OE.scores.BC.null","Capture.Probs.Anabaena","Capture.Probs.Ankistrodesmus","Capture.Probs.Apatococcus","Capture.Probs.Aphanocapsa","Capture.Probs.Aphanochaete","Capture.Probs.Aphanothece","Capture.Probs.Apiocystis","Capture.Probs.Arthrospira","Capture.Probs.Asterococcus","Capture.Probs.Bacularia","Capture.Probs.Batrachospermum","Capture.Probs.Binuclearia","Capture.Probs.Bulbochaete","Capture.Probs.Calothrix","Capture.Probs.Capsosira","Capture.Probs.Carteria","Capture.Probs.Chaetophora","Capture.Probs.Chamaesiphon","Capture.Probs.Chantransia","Capture.Probs.Chara","Capture.Probs.Characiopsis","Capture.Probs.Chlamydocapsa","Capture.Probs.Chlamydomonadopsis","Capture.Probs.Chlamydomonas","Capture.Probs.Chlorella","Capture.Probs.Chlorogloea","Capture.Probs.Chlorosaccus","Capture.Probs.Chroococcopsis","Capture.Probs.Chroococcus","Capture.Probs.Chroodactylon","Capture.Probs.Chroomonas","Capture.Probs.Chrysocapsa","Capture.Probs.Chrysosphaera","Capture.Probs.Chytridiochloris","Capture.Probs.Cladophora","Capture.Probs.Clastidium","Capture.Probs.Closteriopsis","Capture.Probs.Closteriospira","Capture.Probs.Closterium","Capture.Probs.Coelastrum","Capture.Probs.Coleochaete","Capture.Probs.Coleodesmium","Capture.Probs.Comasiella","Capture.Probs.Cosmarium","Capture.Probs.Cryptomonas","Capture.Probs.Cyanobium","Capture.Probs.Cyanodermatium","Capture.Probs.Cyanophanon","Capture.Probs.Cyanothece","Capture.Probs.Cylindrocapsa","Capture.Probs.Cylindrospermum","Capture.Probs.Dichothrix","Capture.Probs.Dictyosphaerium","Capture.Probs.Dolichospermum","Capture.Probs.Draparnaldia","Capture.Probs.Epipyxis","Capture.Probs.Euastrum","Capture.Probs.Eucapsis","Capture.Probs.Euglena","Capture.Probs.Fragilaria","Capture.Probs.Geitleribactron","Capture.Probs.Geitlerinema","Capture.Probs.Geminella","Capture.Probs.Gloeobotrys","Capture.Probs.Gloeocapsa","Capture.Probs.Gloeocapsopsis","Capture.Probs.Gloeocystis","Capture.Probs.Gloeotrichia","Capture.Probs.Gongrosira","Capture.Probs.Haematococcus","Capture.Probs.Hapalosiphon","Capture.Probs.Heterococcus","Capture.Probs.Heteroleibleinia","Capture.Probs.Homoeothrix","Capture.Probs.Hyalotheca","Capture.Probs.Hydrococcus","Capture.Probs.Hydrocoleum","Capture.Probs.Hydrurus","Capture.Probs.Jaaginema","Capture.Probs.Kirchneriella","Capture.Probs.Klebsormidium","Capture.Probs.Komvophoron","Capture.Probs.Leibleinia","Capture.Probs.Lemanea","Capture.Probs.Lepocinclis","Capture.Probs.Leptolyngbya","Capture.Probs.Limnococcus","Capture.Probs.Limnothrix","Capture.Probs.Lyngbya","Capture.Probs.Mallomonas","Capture.Probs.Merismopedia","Capture.Probs.Microchaete","Capture.Probs.Microcoleus","Capture.Probs.Microcystis","Capture.Probs.Microspora","Capture.Probs.Microthamnion","Capture.Probs.Mischococcus","Capture.Probs.Monomorphina","Capture.Probs.Monoraphidium","Capture.Probs.Mougeotia","Capture.Probs.Nephrocytium","Capture.Probs.Netrium","Capture.Probs.Nodularia","Capture.Probs.Nostoc","Capture.Probs.Nostochopsis","Capture.Probs.Oedogonium","Capture.Probs.Oocardium","Capture.Probs.Oocystis","Capture.Probs.Ophiocytium","Capture.Probs.Oscillatoria","Capture.Probs.Palmellopsis","Capture.Probs.Pandorina","Capture.Probs.Paralemanea","Capture.Probs.Paulschulzia","Capture.Probs.Pediastrum","Capture.Probs.Peridinium","Capture.Probs.Phacus","Capture.Probs.Phormidium","Capture.Probs.Planktolyngbya","Capture.Probs.Pleurocapsa","Capture.Probs.Pleurocladia","Capture.Probs.Pleurotaenium","Capture.Probs.Prasiola","Capture.Probs.Pseudanabaena","Capture.Probs.Pseudocharaciopsis","Capture.Probs.Quadrigula","Capture.Probs.Radiococcus","Capture.Probs.Rhabdoderma","Capture.Probs.Rhabdogloea","Capture.Probs.Rhizoclonium","Capture.Probs.Rhodostichus","Capture.Probs.Rivularia","Capture.Probs.Scenedesmus","Capture.Probs.Schizochlamys","Capture.Probs.Schizothrix","Capture.Probs.Scytonema","Capture.Probs.Selenastrum","Capture.Probs.Sirodotia","Capture.Probs.Sphaerobotrys","Capture.Probs.Sphaerocystis","Capture.Probs.Sphaeroplea","Capture.Probs.Spirogyra","Capture.Probs.Spirulina","Capture.Probs.Staurastrum","Capture.Probs.Stauridium","Capture.Probs.Staurosira","Capture.Probs.Stigeoclonium","Capture.Probs.Stigonema","Capture.Probs.Stipitococcus","Capture.Probs.Stylochrysalis","Capture.Probs.Stylococcus","Capture.Probs.Symploca","Capture.Probs.Synedra","Capture.Probs.Synura","Capture.Probs.Tabularia","Capture.Probs.Teilingia","Capture.Probs.Tetraedron","Capture.Probs.Tetraspora","Capture.Probs.Tetrasporidium","Capture.Probs.Tetrasporopsis","Capture.Probs.Tolypothrix","Capture.Probs.Trachelomonas","Capture.Probs.Tribonema","Capture.Probs.Trichormus","Capture.Probs.Trochiscia","Capture.Probs.Tychonema","Capture.Probs.Ulothrix","Capture.Probs.Ulva","Capture.Probs.Uronema","Capture.Probs.Vaucheria","Capture.Probs.Woronichinia","Capture.Probs.Xanthonema","Capture.Probs.Xenococcus","Capture.Probs.Zygnema","Group.Occurrence.Probs.1","Group.Occurrence.Probs.2","Group.Occurrence.Probs.3","Group.Occurrence.Probs.4","Group.Occurrence.Probs.5","Group.Occurrence.Probs.6","Group.Occurrence.Probs.7","Group.Occurrence.Probs.8"
"000CAT148_8/10/10_1",1,2.33266967365967,0.428693359926578,1,2.70843373493976,0.369217081850534,0.41883261658505,0.486679662118259,0.113415547785548,0.0511458110516934,7.27272727272727e-05,0.448344985602633,0.00299545454545455,0.307723495132319,0.0111893939393939,7.27272727272727e-05,0.0537524777183601,7.27272727272727e-05,0.0367662210338681,0.00292272727272727,0.0546718181818182,0.290242806801042,7.27272727272727e-05,0.000672727272727273,0.0344691443850267,0.636194851227204,0.402893124914301,7.27272727272727e-05,0.00893939393939394,7.27272727272727e-05,6e-04,0.0176613190730838,0.0399943493761141,0.0455170876182641,0.00127272727272727,0.0390599506375977,0.358832022487317,0.0209048484848485,0.0193263636363636,6e-04,0.0305882352941176,0.00833939393939394,0.211285691759221,0.0583487453722748,0.0199833333333333,7.27272727272727e-05,0.136226917592212,0.00848484848484848,0.0165333333333333,0.0144727272727273,7.27272727272727e-05,0.14331192513369,0.0197401467160291,0.0107245989304813,0.0238086987522282,0.0206787878787879,0.0141641464417935,0.000218181818181818,0.00989641025641026,0.0201697970656794,0.0178609625668449,0.0367348484848485,0.0372731303990128,0.000145454545454545,0.0427291375291375,0.00826666666666667,0.0187912587412587,0.00132307692307692,0.00398823529411765,0.048849696969697,0.00898636363636363,0.0695022747840395,0.115050367475662,0.0105801069518717,0.0858722816399287,7.27272727272727e-05,0.134381561771562,7.27272727272727e-05,0.00635151515151515,0.00285,0.968419457013575,0.347413177019059,6e-04,0.00398823529411765,0.00826666666666667,0.0445832442067736,7.27272727272727e-05,0.00826666666666667,0.0708461607020431,0.0369370629370629,0.0540541532976827,0.00826666666666667,6e-04,0.728055365418895,7.27272727272727e-05,0.00338823529411765,0.00791398601398601,0.00398823529411765,0.0380172727272727,0.0107975757575758,0.0172039928698752,0.000145454545454545,0.123766524064171,6e-04,0.0112048951048951,7.27272727272727e-05,0.10405599753188,0.164133822843823,0.000145454545454545,7.27272727272727e-05,0.0152863636363636,0.268534017551076,7.27272727272727e-05,0.244530340052105,0.0013958041958042,0.101214645550528,0.0258363636363636,0.0124730837789661,0.00826666666666667,0.00285,0.00285,0.000745454545454545,0.0373285849444673,0.00826666666666667,0.00620606060606061,0.488909865624572,0.0415040861099685,0.0834997682709447,0.0192503565062389,7.27272727272727e-05,0.00131636363636364,0.052993743315508,0.00198125874125874,0.0370549019607843,0.0317836898395722,0.0278727272727273,6e-04,7.27272727272727e-05,0.000658181818181818,0.0173267667626491,0.16356252845194,0.0165333333333333,0.00967030303030303,0.0115901000959824,0.00826666666666667,0.00635151515151515,0.0176730837789661,0.0279673193473193,7.27272727272727e-05,0.223447169888935,0.0353527272727273,0.103784792266557,0.0243352049910873,0.00132307692307692,0.0368110091868915,0.00620606060606061,7.27272727272727e-05,7.27272727272727e-05,0.0124121212121212,0.0216495008912656,0.00132307692307692,0.00959429590017825,0.00132307692307692,0.0248,0.000290909090909091,0.0207869696969697,0.00620606060606061,0.000672727272727273,0.178660164541341,0.0309695941313588,0.236839344576992,0.00350818181818182,0.00299545454545455,0.023005398327163,0.111967854106678,0.00635818181818182,7.27272727272727e-05,0.0583383682983683,0.00338823529411765,7.27272727272727e-05,0.134754692170574,0.180925023995612,0.0384,0.4096,0.1032,0.0032,0.0992,0.0362,0.0798,0.2304
"102PS0139_8/9/10_1",2,2.82272908449394,0.708534166805655,2,2.70843373493976,0.738434163701068,0.31819470934644,0.36028659160696,0.091941796953047,0.0358360071301248,0.00085,0.558462465279818,0.00187857142857143,0.399705486302913,0.00612857142857143,0.00085,0.0486215211993888,0.00085,0.0356061003947033,0.00102857142857143,0.0407624350649351,0.382938765793031,0.00085,0.00261875,0.0431624032340209,0.67966411272551,0.363082378748702,0.00085,0.00771875,0.00085,0.00176875,0.0248485294117647,0.0411067058186911,0.0511133028246264,0.0043875,0.0338477458325988,0.308770599890306,0.0167134686147186,0.0154366774891775,0.00176875,0.0274367647058824,0.00595,0.168111402812873,0.0575269102221308,0.0121473214285714,0.00085,0.117490186137392,0.00765,0.0102,0.00782424242424242,0.00085,0.108558069455055,0.022669281355899,0.0140564075630252,0.0323585360962567,0.0105484848484848,0.0270122667283697,0.00255,0.016182465034965,0.0303876496542673,0.0128860071301248,0.0248973214285714,0.0303547438101115,0.0017,0.028124358974359,0.0051,0.0114771728271728,0.00177435897435897,0.00683051470588235,0.0551614772727273,0.00563571428571429,0.0620269522389375,0.112615412577618,0.0228636430481283,0.0716330213903743,0.00085,0.174410165251415,0.00085,0.00442424242424242,0.000178571428571429,0.964416989872872,0.486367625511743,0.00176875,0.00683051470588235,0.0051,0.0338682709447415,0.00085,0.0051,0.0474506799572976,0.0230831876456876,0.0515743910746117,0.0051,0.00176875,0.620185516615737,0.00085,0.00506176470588235,0.00730025183150183,0.00683051470588235,0.0244594047619048,0.0134526136363636,0.0161753631907308,0.0017,0.0778408622994652,0.00176875,0.0195440018315018,0.00085,0.0870423770102447,0.140171775724276,0.0017,0.00085,0.00776160714285714,0.337643600664042,0.00085,0.17065816519265,0.00262435897435897,0.0927775414291591,0.02216875,0.0144805147058824,0.0051,0.000178571428571429,0.000178571428571429,0.00346875,0.0486548087451764,0.0051,0.00272424242424242,0.412062237272531,0.0357145952087129,0.0840939546727782,0.0124575709829386,0.00085,0.00439272727272727,0.0495664569009422,0.00397072261072261,0.0272305147058823,0.0240090861344538,0.02499375,0.00176875,0.00085,0.00219636363636364,0.0226671788750465,0.170386380971969,0.0102,0.0107651136363636,0.0121791161044838,0.0051,0.00442424242424242,0.0166664995543672,0.0369080927405927,0.00085,0.159096457317193,0.0401750054112554,0.0737421474603828,0.0232278361344538,0.00177435897435897,0.0478002254118431,0.00272424242424242,0.00085,0.00085,0.00544848484848485,0.032328691749427,0.00177435897435897,0.00778600713012478,0.00177435897435897,0.0153,0.0034,0.0160436850649351,0.00272424242424242,0.00261875,0.188066931279505,0.0336070687890541,0.161896030464633,0.00237493506493507,0.00187857142857143,0.0293207838240191,0.100774278760455,0.00255350649350649,0.00085,0.0216751848151848,0.00506176470588235,0.00085,0.0831098495377172,0.145459653826566,0.1132,0.1798,0.1384,0.0374,0.0612,0.1208,0.005,0.3442
"105DLCDCC_5/19/09_1",3,5.39455566305018,0.556116237811465,3,2.70843373493976,1.1076512455516,0.438167778027971,0.22836639932461,0.133445296578422,0.00846096256684492,0.000745454545454546,0.590011561526709,0.00211233766233766,0.513222522146971,0.00211688311688312,0.000745454545454546,0.0378521719824293,0.000745454545454546,0.0333636912719633,0.00136688311688312,0.0259524512987013,0.709772693997179,0.000745454545454546,0.00561732954545455,0.0836983164629488,0.681356014022742,0.327398177778104,0.000745454545454546,0.00636732954545455,0.000745454545454546,0.004871875,0.0263503342245989,0.0458445631207028,0.0330112571986837,0.0104892045454545,0.027977396941294,0.382469079596874,0.0315038230519481,0.0205024512987013,0.004871875,0.0236757352941176,0.00149545454545455,0.215489267350297,0.0461231990436035,0.00699330357142857,0.000745454545454546,0.105068371554916,0.00298636363636364,0.0015,0.00128636363636364,0.000745454545454546,0.0700629722116119,0.0299804068725392,0.0173975697097021,0.0288402707219251,0.00182272727272727,0.0307574637494858,0.00223636363636364,0.0235890646853147,0.0484423649144973,0.00322459893048128,0.0107296672077922,0.0272446457586531,0.00149090909090909,0.00522622377622378,0.00075,0.00412947052947053,0.000730769230769231,0.00681011029411765,0.070516875,0.00633701298701299,0.0803415661177058,0.0953437686578128,0.0370867546791444,0.0514067513368984,0.000745454545454546,0.195004981893107,0.000745454545454546,0.00202727272727273,0.000621428571428571,0.984395830639948,0.55016535817124,0.004871875,0.00681011029411765,0.00075,0.0104347593582888,0.000745454545454546,0.00075,0.0193523649144973,0.014100743006993,0.0477223324102368,0.00075,0.004871875,0.69241408565699,0.000745454545454546,0.00193823529411765,0.00982731955544456,0.00681011029411765,0.0228569967532468,0.0234710795454545,0.016733746657754,0.00149090909090909,0.0722813536096257,0.004871875,0.0371685127372627,0.000745454545454546,0.0858362229314803,0.170317411338661,0.00149090909090909,0.000745454545454546,0.0124517451298701,0.673217596888406,0.000745454545454546,0.166611055378445,0.00147622377622378,0.0868419428365752,0.0115946022727273,0.00979647393048128,0.00075,0.000621428571428571,0.000621428571428571,0.00636278409090909,0.0506779899144973,0.00075,0.000536363636363636,0.349895775547981,0.0472539945348769,0.084753166539343,0.00850426613827349,0.000745454545454546,0.01472,0.0442263650687548,0.00809076923076923,0.00981011029411765,0.0111724479564553,0.0273548295454545,0.004871875,0.000745454545454546,0.00736,0.0442107334209908,0.194397867279779,0.0015,0.0144727840909091,0.00882269770670506,0.00075,0.00202727272727273,0.0183720421122995,0.0479701036463537,0.000745454545454546,0.198145200608215,0.0855537256493507,0.0294465704883352,0.0175306865928189,0.000730769230769231,0.0895916830963154,0.000536363636363636,0.000745454545454546,0.000745454545454546,0.00107272727272727,0.0430352855233002,0.000730769230769231,0.00247459893048128,0.000730769230769231,0.00225,0.00298181818181818,0.0158442126623377,0.000536363636363636,0.00561732954545455,0.270883836494388,0.0258023353484751,0.170392957006229,0.00798142857142857,0.00211233766233766,0.0355649795792443,0.0680078948992184,0.00860285714285714,0.000745454545454546,0.0267259340659341,0.00193823529411765,0.000745454545454546,0.0746922818725392,0.119897965637304,0.3118,0.0354,0.057,0.0328,0.009,0.4048,0.0174,0.1318
"105DLCDCC_6/23/09_1",4,5.4306224258707,0.736563820188378,3,2.70843373493976,1.1076512455516,0.343911134023416,0.22836639932461,0.120208833458208,0.00688065953654189,0.000486363636363636,0.585748346408493,0.00100844155844156,0.50063511164081,0.00108874458874459,0.000486363636363636,0.0331653267443341,0.000486363636363636,0.0319315754710975,0.000522077922077922,0.0234878733766234,0.725836391133377,0.000486363636363636,0.00520198863636364,0.0840948857270181,0.699211523097001,0.333593438350865,0.000486363636363636,0.0057686553030303,0.000486363636363636,0.004715625,0.0250647281639929,0.0422117005665903,0.0342969623268888,0.00991761363636364,0.0270607877171848,0.358315081927876,0.0318134172077922,0.0196954491341991,0.004715625,0.0226507352941176,0.0010530303030303,0.212876421862451,0.0446879572021116,0.00588467261904762,0.000486363636363636,0.0980614426504868,0.00202575757575758,0.00113333333333333,0.00106666666666667,0.000486363636363636,0.0619972308696206,0.0301043604189928,0.014509095683728,0.0304997782976827,0.00156666666666667,0.0306187370595091,0.00145909090909091,0.0220838607226107,0.0488417496963821,0.00315490196078431,0.00847709686147186,0.0264851723154297,0.000972727272727273,0.00387867132867133,0.000566666666666667,0.00263408258408258,0.000558974358974359,0.00680386029411765,0.0670021401515151,0.00302532467532468,0.0832265190814088,0.0911408807124248,0.0369164137700535,0.0403302361853832,0.000486363636363636,0.19853940455378,0.000486363636363636,0.00147272727272727,3.57142857142857e-05,0.98833777203189,0.561847309553192,0.004715625,0.00680386029411765,0.000566666666666667,0.0108529411764706,0.000486363636363636,0.000566666666666667,0.0170005375751699,0.0131158653846154,0.0458266992933537,0.000566666666666667,0.004715625,0.680277500159154,0.000486363636363636,0.00208823529411765,0.00729148247585748,0.00680386029411765,0.0216818127705628,0.0233889962121212,0.0169656784759358,0.000972727272727273,0.0632146490641711,0.004715625,0.032815062021312,0.000486363636363636,0.0806464839204913,0.162498121461871,0.000972727272727273,0.000486363636363636,0.00781237824675325,0.688728471846781,0.000486363636363636,0.145875679504319,0.001045337995338,0.0761640765362089,0.00933380681818182,0.00882961786987522,0.000566666666666667,3.57142857142857e-05,3.57142857142857e-05,0.00568835227272727,0.0449046853024427,0.000566666666666667,5e-04,0.353190306017512,0.0439753398562222,0.084350179526356,0.00783957457983193,0.000486363636363636,0.0163781818181818,0.041664249267889,0.00874806526806527,0.00907052696078431,0.0095123018525592,0.0257644886363636,0.004715625,0.000486363636363636,0.00818909090909091,0.0434139547829621,0.180526616863529,0.00113333333333333,0.0144441098484848,0.00834919828945564,0.000566666666666667,0.00147272727272727,0.0177214739304813,0.0440304408091908,0.000486363636363636,0.183072920388435,0.0813226488095238,0.0284339564357211,0.0151203510949834,0.000558974358974359,0.0922987951509275,5e-04,0.000486363636363636,0.000486363636363636,0.001,0.0426682833587981,0.000558974358974359,0.00258823529411765,0.000558974358974359,0.0017,0.00194545454545455,0.0150464908008658,5e-04,0.00520198863636364,0.280241756491058,0.0230421601070498,0.151933009037531,0.0082248051948052,0.00100844155844156,0.0344134261326908,0.0705044333607569,0.00826051948051948,0.000486363636363636,0.015387326007326,0.00208823529411765,0.000486363636363636,0.07706271269172,0.110108500935339,0.3018,0.033,0.0436,0.0214,0.0068,0.4504,0.001,0.142
